,Year,Team,effective-field-goal-pct,ftm-per-100-possessions,offensive-rebounding-pct,defensive-rebounding-pct,assists-per-fgm,effective-possession-ratio,RPI,win-pct-all-games,win-pct-close-games,SOS,Last 10,average-scoring-margin,offensive-efficiency,AdjO,defensive-efficiency,AdjD,EffM,AdjEM,points-per-game,opponent-points-per-game,PFAM,true-shooting-percentage,opponent-true-shooting-percentage,TS%M,shooting-pct,opponent-shooting-pct,FG%M,three-point-pct,free-throw-pct,total-rebounding-percentage,steals-perpossession,turnovers-per-possession,opponent-turnovers-per-possession,TOM,block-pct,personal-fouls-per-possession
10,2008,Connecticut,50.6%,27.225,38.5%,69.2%,0.562,0.976,,0.727,0.667,,,+8.8,1.067,,0.946,,,,77.5,68.7,,110.7%,94.0%,,46.2%,38.7%,,36.1%,72.0%,54.3%,7.9%,18.6%,16.4%,,13.1%,21.0%
11,2008,Coppin State,43.5%,20.482,29.7%,62.8%,0.454,0.926,,0.400,0.533,,,-7.0,0.887,,0.993,,,,59.2,66.2,,96.2%,106.8%,,39.6%,43.8%,,32.0%,71.2%,46.3%,10.3%,21.3%,23.8%,,4.2%,28.4%
12,2008,Cornell,55.4%,20.196,27.1%,70.8%,0.538,0.915,,0.778,0.833,,,+6.4,1.073,,0.981,,,,75.7,69.3,,117.6%,105.1%,,48.3%,43.0%,,40.3%,76.1%,49.9%,8.4%,19.4%,20.2%,,4.9%,26.0%
13,2008,CS Fullerton,54.2%,19.030,32.2%,71.0%,0.514,0.962,,0.719,0.400,,,+8.8,1.098,,0.979,,,,81.7,72.8,,113.6%,110.2%,,47.3%,46.5%,,38.4%,70.2%,50.5%,11.9%,18.0%,22.9%,,2.4%,25.6%
14,2008,Davidson,54.1%,16.585,31.4%,73.4%,0.591,0.972,,0.800,0.500,,,+13.3,1.107,,0.915,,,,76.7,63.4,,113.2%,104.0%,,46.8%,42.6%,,36.6%,72.6%,51.8%,11.1%,16.6%,23.4%,,5.7%,26.2%
15,2008,Drake,52.6%,22.836,35.1%,68.4%,0.596,0.982,,0.839,0.600,,,+10.8,1.118,,0.953,,,,73.1,62.3,,113.3%,104.8%,,44.2%,43.6%,,36.7%,76.8%,51.8%,11.0%,17.6%,23.0%,,4.6%,22.6%
16,2008,Duke,53.6%,23.003,32.3%,68.0%,0.515,0.966,,0.824,0.500,,,+13.8,1.096,,0.914,,,,83.2,69.4,,113.7%,101.2%,,46.2%,43.5%,,37.7%,69.7%,50.1%,11.4%,17.7%,24.0%,,6.6%,25.3%
17,2008,Geo Mason,52.3%,22.497,30.9%,74.1%,0.534,0.959,,0.676,0.286,,,+6.8,1.066,,0.961,,,,69.3,62.5,,111.5%,101.4%,,46.5%,42.0%,,34.7%,70.3%,52.9%,8.6%,18.0%,17.7%,,5.8%,23.8%
18,2008,Georgetown,56.7%,17.664,31.7%,69.0%,0.616,0.922,,0.824,0.857,,,+11.5,1.078,,0.900,,,,69.6,58.1,,116.9%,92.4%,,49.0%,36.6%,,38.4%,65.4%,52.1%,10.7%,20.7%,18.8%,,8.9%,27.3%
19,2008,Georgia,47.8%,18.094,36.0%,69.4%,0.467,0.958,,0.485,0.571,,,+0.5,0.981,,0.973,,,,67.7,67.2,,101.7%,101.8%,,42.6%,42.7%,,32.9%,67.4%,52.8%,9.6%,21.0%,18.3%,,6.0%,26.3%
20,2008,Gonzaga,54.5%,22.267,34.0%,72.5%,0.537,0.938,,0.758,0.700,,,+12.7,1.081,,0.902,,,,76.5,63.8,,115.5%,97.4%,,48.5%,39.6%,,37.5%,71.2%,53.7%,10.8%,20.1%,20.6%,,8.2%,25.0%
21,2008,Indiana,52.3%,25.296,35.0%,72.8%,0.520,0.955,,0.758,0.636,,,+9.7,1.086,,0.945,,,,75.0,65.3,,113.8%,100.0%,,46.3%,41.2%,,34.9%,75.9%,54.5%,10.2%,19.4%,19.0%,,6.7%,25.2%
22,2008,Kansas,56.6%,21.079,36.3%,73.4%,0.611,0.963,,0.923,0.667,,,+18.7,1.139,,0.874,,,,80.2,61.5,,118.4%,95.6%,,50.8%,38.0%,,39.7%,70.7%,55.7%,12.7%,18.6%,21.5%,,10.3%,25.1%
23,2008,Kansas St,49.5%,21.935,41.1%,70.9%,0.554,0.991,,0.625,0.500,,,+9.1,1.058,,0.935,,,,78.1,69.0,,106.1%,103.0%,,44.4%,42.5%,,32.0%,69.3%,55.5%,10.2%,20.2%,21.6%,,6.1%,27.4%
24,2008,Kent State,51.9%,22.607,33.6%,66.8%,0.578,0.922,,0.800,0.714,,,+7.1,1.025,,0.920,,,,68.9,61.9,,111.5%,100.4%,,46.4%,41.2%,,36.6%,71.4%,51.0%,12.7%,21.7%,23.8%,,7.3%,27.7%
25,2008,Kentucky,52.7%,22.501,31.3%,68.7%,0.537,0.900,,0.581,0.600,,,+2.9,1.013,,0.970,,,,68.5,65.6,,113.5%,99.9%,,46.9%,39.6%,,36.9%,73.3%,51.2%,9.8%,22.8%,18.9%,,8.8%,27.8%
26,2008,Louisville,53.1%,19.204,32.4%,71.0%,0.582,0.954,,0.750,0.444,,,+11.0,1.056,,0.896,,,,72.5,61.5,,110.7%,95.7%,,46.3%,38.8%,,35.0%,64.7%,52.0%,11.7%,19.8%,20.9%,,8.9%,26.5%
27,2008,Marquette,50.6%,22.253,36.6%,68.7%,0.564,0.986,,0.706,0.333,,,+11.1,1.073,,0.916,,,,76.0,64.9,,108.3%,100.9%,,44.6%,41.6%,,35.8%,70.5%,52.2%,12.9%,17.9%,22.8%,,7.0%,29.6%
28,2008,Memphis,52.8%,21.155,37.7%,72.8%,0.557,1.015,,0.950,0.750,,,+18.0,1.112,,0.862,,,,79.9,61.9,,109.3%,94.2%,,46.6%,39.1%,,34.9%,61.4%,54.1%,11.7%,16.2%,21.4%,,10.7%,23.9%
29,2008,Miami (FL),49.2%,24.152,34.9%,67.7%,0.511,0.974,,0.667,0.600,,,+5.8,1.048,,0.966,,,,73.9,68.1,,107.8%,100.7%,,43.3%,40.9%,,37.9%,75.3%,51.0%,8.0%,18.5%,19.7%,,7.8%,26.6%
30,2008,Michigan St,52.6%,20.479,38.0%,70.5%,0.665,0.959,,0.750,0.714,,,+8.6,1.078,,0.947,,,,71.2,62.6,,112.0%,98.6%,,48.0%,40.2%,,37.1%,73.7%,55.0%,8.7%,20.1%,17.9%,,7.7%,27.9%
31,2008,Miss State,52.2%,19.827,33.4%,71.1%,0.506,0.942,,0.676,0.333,,,+7.7,1.020,,0.913,,,,73.2,65.5,,109.3%,92.0%,,46.0%,37.0%,,33.4%,64.6%,52.6%,8.2%,20.5%,17.0%,,12.5%,23.3%
32,2008,Miss Val St,43.4%,21.215,30.7%,66.9%,0.520,0.945,,0.484,0.615,,,-5.8,0.895,,0.981,,,,60.0,65.8,,95.4%,105.4%,,39.1%,44.8%,,34.2%,66.9%,48.0%,8.6%,20.4%,21.9%,,5.2%,25.6%
33,2008,Mt St Marys,49.8%,21.187,28.3%,68.1%,0.532,0.923,,0.559,0.375,,,+1.5,0.987,,0.965,,,,69.2,67.7,,107.1%,102.5%,,44.3%,42.3%,,36.1%,70.3%,48.6%,10.3%,20.1%,20.9%,,6.4%,28.1%
34,2008,N Carolina,53.0%,24.294,41.2%,72.8%,0.519,0.993,,0.923,0.857,,,+16.1,1.137,,0.931,,,,88.6,72.5,,114.1%,101.2%,,48.8%,42.6%,,37.2%,75.7%,57.2%,10.5%,18.3%,20.2%,,6.9%,21.7%
35,2008,Notre Dame,52.2%,21.109,34.0%,71.3%,0.665,0.979,,0.758,0.400,,,+9.4,1.088,,0.958,,,,79.0,69.6,,111.4%,97.5%,,45.4%,41.1%,,40.5%,73.7%,53.7%,8.6%,17.8%,16.8%,,5.9%,20.7%
36,2008,Oklahoma,50.1%,21.225,32.5%,72.8%,0.525,0.959,,0.657,0.750,,,+4.1,1.018,,0.956,,,,67.9,63.8,,106.8%,101.5%,,44.2%,41.4%,,34.8%,68.1%,51.9%,9.7%,19.1%,19.3%,,7.0%,25.4%
37,2008,Oral Roberts,49.9%,21.814,32.1%,70.6%,0.561,0.962,,0.719,0.500,,,+6.6,1.020,,0.923,,,,68.7,62.1,,106.3%,98.1%,,43.7%,40.2%,,36.8%,66.7%,51.3%,9.2%,18.7%,20.0%,,7.0%,24.6%
38,2008,Oregon,55.8%,20.468,29.2%,70.0%,0.554,0.943,,0.562,0.500,,,+4.0,1.102,,1.044,,,,76.6,72.5,,116.7%,106.8%,,48.0%,44.4%,,39.2%,69.4%,51.3%,6.7%,18.0%,15.9%,,4.3%,26.4%
39,2008,Pittsburgh,50.8%,20.585,38.1%,68.9%,0.573,1.004,,0.722,0.625,,,+7.8,1.075,,0.961,,,,73.0,65.2,,107.2%,101.9%,,45.6%,42.2%,,33.8%,66.5%,52.6%,9.6%,17.6%,20.0%,,6.0%,23.7%
40,2008,Portland St,54.9%,19.720,33.4%,70.6%,0.611,0.933,,0.677,0.667,,,+4.8,1.062,,0.993,,,,73.7,68.9,,114.5%,108.9%,,46.6%,45.0%,,40.0%,67.2%,51.2%,9.9%,20.9%,21.6%,,6.2%,25.9%
41,2008,Purdue,49.1%,21.584,31.3%,71.7%,0.560,0.960,,0.735,0.545,,,+7.2,1.018,,0.912,,,,69.6,62.4,,105.9%,105.4%,,42.4%,43.6%,,37.3%,71.2%,50.2%,12.3%,18.4%,25.0%,,8.8%,28.9%
42,2008,St Josephs,54.6%,22.799,30.8%,68.3%,0.584,0.942,,0.618,0.333,,,+5.6,1.091,,1.007,,,,73.1,67.4,,116.1%,107.1%,,47.7%,43.7%,,38.6%,72.6%,49.9%,10.6%,18.6%,20.4%,,8.3%,26.2%
43,2008,San Diego,49.2%,18.791,30.4%,70.8%,0.549,0.922,,0.600,0.818,,,+1.7,0.964,,0.940,,,,65.1,63.4,,104.5%,104.1%,,44.7%,44.0%,,33.7%,67.0%,50.8%,10.3%,21.4%,22.2%,,5.9%,25.8%
44,2008,Siena,50.9%,21.078,29.2%,64.0%,0.527,0.981,,0.676,0.714,,,+5.7,1.063,,0.985,,,,76.9,71.2,,108.2%,106.7%,,45.1%,45.2%,,38.2%,68.9%,47.0%,13.0%,15.4%,23.5%,,5.9%,21.3%
45,2008,S Alabama,53.9%,25.357,37.3%,71.9%,0.608,0.962,,0.774,0.500,,,+9.2,1.098,,0.965,,,,75.5,66.3,,115.0%,102.5%,,47.7%,42.1%,,36.8%,70.3%,54.5%,8.9%,19.9%,19.5%,,5.4%,25.3%
46,2008,St Marys,52.5%,21.204,35.0%,70.1%,0.549,0.972,,0.774,1.000,,,+11.6,1.071,,0.907,,,,75.5,63.9,,110.2%,96.6%,,45.6%,40.7%,,35.9%,65.9%,52.0%,9.9%,18.9%,20.5%,,8.7%,24.4%
47,2008,Stanford,49.8%,22.975,38.7%,73.5%,0.583,0.998,,0.778,0.700,,,+9.4,1.063,,0.922,,,,70.9,61.6,,107.0%,95.5%,,44.9%,39.6%,,36.6%,69.4%,55.5%,6.6%,18.1%,16.9%,,9.3%,25.3%
48,2008,Temple,54.1%,20.662,26.4%,69.4%,0.595,0.927,,0.618,0.571,,,+3.6,1.064,,1.011,,,,72.3,68.7,,115.1%,105.3%,,46.9%,42.5%,,36.9%,74.0%,49.1%,9.3%,18.3%,18.7%,,7.7%,26.0%
49,2008,Tennessee,52.4%,21.113,35.7%,66.8%,0.606,0.995,,0.857,0.846,,,+10.6,1.096,,0.954,,,,81.3,70.7,,109.9%,105.1%,,45.4%,43.5%,,35.8%,65.7%,50.4%,12.4%,17.7%,24.0%,,5.7%,28.1%
50,2008,Texas,51.5%,19.506,35.4%,68.1%,0.483,1.033,,0.811,0.800,,,+9.5,1.116,,0.973,,,,74.8,65.3,,108.3%,98.2%,,44.8%,39.4%,,38.0%,68.3%,51.8%,8.6%,13.7%,17.3%,,8.8%,24.9%
51,2008,Texas A&M,52.0%,21.232,33.6%,74.4%,0.543,0.962,,0.686,0.667,,,+8.7,1.046,,0.916,,,,70.4,61.6,,108.8%,95.3%,,46.6%,39.6%,,35.7%,63.4%,54.7%,6.6%,18.5%,16.9%,,7.2%,25.1%
52,2008,UCLA,52.2%,22.918,38.8%,75.1%,0.544,0.986,,0.895,0.875,,,+14.0,1.101,,0.891,,,,73.4,59.4,,112.0%,98.5%,,47.4%,42.0%,,34.4%,73.6%,56.2%,11.0%,18.3%,21.2%,,7.9%,21.9%
53,2008,Maryland BC,51.4%,20.959,30.7%,67.0%,0.571,1.000,,0.719,0.643,,,+4.6,1.096,,1.028,,,,74.0,69.4,,109.7%,106.6%,,45.1%,43.9%,,38.3%,72.7%,48.9%,9.0%,14.2%,18.5%,,5.8%,24.1%
54,2008,UNLV,48.5%,20.847,28.2%,69.4%,0.603,0.977,,0.765,0.600,,,+6.7,1.026,,0.926,,,,68.9,62.2,,105.2%,99.4%,,41.9%,40.9%,,33.2%,74.8%,48.6%,11.5%,15.7%,21.6%,,5.4%,25.6%
55,2008,USC,53.3%,20.189,29.0%,66.3%,0.499,0.904,,0.636,0.500,,,+5.3,1.015,,0.937,,,,69.0,63.7,,112.5%,95.9%,,48.0%,39.4%,,38.7%,68.5%,50.0%,8.4%,21.3%,19.1%,,7.5%,23.5%
56,2008,TX-Arlington,52.3%,20.675,31.3%,71.0%,0.523,0.894,,0.586,0.444,,,+1.6,0.986,,0.964,,,,72.2,70.6,,110.6%,102.0%,,46.9%,40.7%,,34.6%,67.0%,51.9%,8.6%,23.5%,19.9%,,4.1%,27.9%
57,2008,Vanderbilt,54.1%,22.171,28.9%,67.5%,0.653,0.929,,0.765,0.750,,,+5.4,1.073,,1.001,,,,80.0,74.6,,115.4%,105.6%,,46.5%,43.8%,,39.9%,73.5%,49.6%,8.2%,19.3%,19.8%,,5.7%,24.5%
58,2008,Villanova,49.1%,22.893,34.3%,70.8%,0.537,0.957,,0.629,0.571,,,+3.3,1.025,,0.978,,,,72.8,69.5,,106.8%,109.7%,,43.1%,43.6%,,34.4%,72.7%,51.8%,11.4%,19.9%,22.9%,,5.4%,29.1%
59,2008,Wash State,53.7%,22.403,25.7%,72.4%,0.598,0.945,,0.743,0.750,,,+10.0,1.083,,0.920,,,,66.4,56.4,,114.4%,100.3%,,47.4%,41.3%,,37.2%,72.8%,50.3%,10.4%,16.3%,20.9%,,5.9%,24.2%
60,2008,W Virginia,51.4%,21.266,32.8%,71.9%,0.582,0.992,,0.694,0.333,,,+10.8,1.083,,0.926,,,,74.7,63.9,,108.9%,102.6%,,45.3%,42.2%,,36.0%,68.7%,51.3%,10.0%,15.7%,22.0%,,9.6%,28.0%
61,2008,W Kentucky,53.5%,20.930,35.4%,67.8%,0.460,0.959,,0.794,0.556,,,+10.5,1.088,,0.940,,,,77.2,66.7,,113.2%,104.5%,,47.1%,41.9%,,38.9%,70.8%,51.6%,11.0%,19.7%,24.0%,,7.1%,30.1%
62,2008,Winthrop,49.6%,17.308,32.0%,73.9%,0.545,0.963,,0.625,0.143,,,+5.1,0.984,,0.906,,,,64.3,59.2,,102.9%,100.6%,,43.6%,40.1%,,37.2%,59.3%,51.6%,12.5%,18.9%,22.2%,,6.8%,26.2%
63,2008,Wisconsin,50.6%,23.061,35.2%,73.5%,0.539,0.975,,0.861,0.625,,,+12.9,1.059,,0.857,,,,67.2,54.4,,108.8%,93.0%,,44.9%,38.3%,,35.6%,70.5%,54.3%,9.6%,18.6%,21.1%,,6.4%,22.5%
64,2008,Xavier,54.6%,25.384,34.5%,71.5%,0.603,0.957,,0.811,0.750,,,+11.7,1.127,,0.952,,,,75.1,63.4,,117.3%,100.4%,,47.4%,41.0%,,39.1%,74.9%,53.9%,8.4%,19.1%,18.8%,,6.1%,26.0%
0,2009,Duke,50.5%,25.063,37.0%,69.3%,0.505,1.002,,0.811,0.833,,,+11.6,1.092,,0.929,,,,77.5,65.9,,109.5%,102.0%,,44.4%,43.4%,,34.9%,72.8%,52.1%,11.8%,17.0%,22.9%,,7.0%,25.6%
1,2009,Pittsburgh,52.7%,19.724,41.7%,72.7%,0.612,1.022,,0.857,0.500,,,+12.6,1.134,,0.948,,,,77.2,64.6,,110.8%,99.9%,,47.5%,41.0%,,35.4%,67.5%,56.6%,9.9%,17.0%,18.0%,,6.7%,23.9%
2,2009,N Carolina,52.8%,25.493,38.0%,69.8%,0.570,1.006,,0.892,0.500,,,+17.1,1.152,,0.931,,,,89.1,72.0,,114.2%,98.8%,,47.6%,41.0%,,38.5%,75.6%,54.1%,10.9%,16.2%,20.0%,,7.9%,20.7%
3,2009,Oklahoma,55.1%,24.639,36.3%,70.5%,0.531,0.961,,0.833,0.750,,,+11.2,1.113,,0.955,,,,78.7,67.5,,116.0%,98.0%,,49.1%,39.8%,,35.0%,67.4%,53.9%,9.8%,19.3%,17.7%,,7.2%,24.1%
4,2009,Louisville,52.7%,17.042,33.5%,69.5%,0.622,0.971,,0.838,0.800,,,+12.5,1.062,,0.884,,,,74.3,61.8,,109.3%,95.5%,,45.7%,39.6%,,36.8%,64.3%,51.7%,12.8%,18.9%,22.4%,,10.7%,24.1%
5,2009,Michigan St,49.8%,23.578,40.2%,75.8%,0.635,0.978,,0.816,0.833,,,+8.3,1.054,,0.932,,,,72.0,63.7,,107.3%,102.2%,,45.1%,41.6%,,35.4%,69.9%,56.8%,9.5%,20.1%,19.3%,,5.3%,28.3%
6,2009,Memphis,50.1%,23.090,36.7%,72.1%,0.537,0.992,,0.892,0.667,,,+16.3,1.071,,0.839,,,,75.1,58.8,,107.4%,91.7%,,45.0%,37.2%,,32.6%,69.0%,54.2%,12.6%,17.7%,21.3%,,10.9%,25.1%
7,2009,Connecticut,51.3%,25.651,40.0%,72.7%,0.568,1.002,,0.861,1.000,,,+14.1,1.092,,0.896,,,,78.3,64.2,,109.9%,90.0%,,47.4%,37.7%,,34.2%,67.8%,56.0%,8.1%,17.7%,15.8%,,11.9%,18.2%
8,2009,Utah,54.6%,23.194,26.5%,77.6%,0.558,0.905,,0.727,0.571,,,+6.9,1.057,,0.954,,,,71.0,64.1,,118.0%,99.2%,,47.5%,40.5%,,37.0%,78.5%,53.6%,7.6%,20.2%,15.6%,,8.9%,27.8%
9,2009,Missouri,52.6%,20.618,32.9%,66.5%,0.617,0.999,,0.811,0.667,,,+12.8,1.097,,0.922,,,,80.8,67.9,,110.3%,100.9%,,47.1%,42.0%,,35.1%,66.6%,49.1%,13.5%,15.7%,24.3%,,6.5%,27.1%
10,2009,Kansas,53.3%,22.809,35.3%,72.6%,0.580,0.942,,0.771,0.250,,,+11.0,1.076,,0.921,,,,76.4,65.4,,114.0%,97.2%,,47.8%,38.3%,,36.9%,72.7%,55.0%,9.7%,20.7%,18.5%,,8.0%,26.5%
11,2009,Syracuse,54.4%,20.318,34.3%,65.9%,0.616,0.950,,0.730,0.714,,,+7.8,1.074,,0.970,,,,80.0,72.3,,113.0%,97.9%,,48.7%,41.1%,,35.0%,64.6%,51.6%,9.8%,19.6%,18.1%,,7.6%,20.6%
12,2009,Villanova,50.8%,25.380,35.2%,73.0%,0.557,0.972,,0.789,0.778,,,+9.4,1.071,,0.939,,,,76.8,67.4,,111.0%,102.1%,,45.1%,40.3%,,35.2%,75.3%,53.6%,11.0%,18.2%,20.8%,,6.0%,26.9%
13,2009,Washington,48.8%,25.280,40.5%,71.0%,0.464,0.984,,0.735,0.625,,,+8.6,1.050,,0.935,,,,78.3,69.7,,106.3%,100.3%,,45.4%,41.9%,,33.8%,69.9%,55.6%,9.6%,19.5%,19.6%,,4.5%,26.4%
14,2009,Florida St,49.2%,21.890,33.7%,66.8%,0.516,0.919,,0.714,0.750,,,+3.5,0.977,,0.927,,,,68.3,64.9,,106.9%,97.4%,,43.5%,38.7%,,34.2%,72.5%,50.6%,11.6%,22.2%,21.6%,,10.1%,26.8%
15,2009,Wake Forest,52.4%,24.142,34.9%,70.6%,0.448,0.941,,0.774,0.800,,,+10.2,1.059,,0.926,,,,81.0,70.7,,112.5%,98.1%,,49.0%,39.8%,,31.9%,71.1%,53.8%,10.9%,20.6%,20.2%,,9.1%,24.6%
16,2009,Xavier,52.4%,24.027,36.0%,73.8%,0.547,0.949,,0.771,0.500,,,+9.8,1.048,,0.905,,,,71.7,61.9,,111.5%,94.3%,,45.9%,38.7%,,39.4%,67.6%,56.0%,7.7%,21.0%,18.1%,,9.0%,27.2%
17,2009,Siena,51.0%,19.698,32.7%,67.6%,0.530,0.970,,0.771,0.714,,,+7.1,1.044,,0.949,,,,77.4,70.3,,107.4%,103.2%,,46.7%,43.7%,,33.0%,66.4%,49.9%,11.9%,17.7%,22.2%,,7.4%,19.9%
18,2009,Oklahoma St,54.0%,23.551,26.2%,70.7%,0.470,0.952,,0.657,0.714,,,+6.3,1.098,,1.012,,,,80.9,74.5,,115.8%,108.0%,,46.0%,44.4%,,38.4%,74.8%,48.9%,10.3%,16.5%,20.2%,,4.1%,28.9%
19,2009,W Virginia,48.5%,21.866,39.8%,70.6%,0.598,1.019,,0.657,0.429,,,+10.2,1.064,,0.913,,,,72.0,61.8,,104.2%,101.0%,,42.9%,42.1%,,32.9%,69.8%,54.1%,9.8%,17.4%,22.6%,,8.8%,27.9%
20,2009,Purdue,50.0%,19.256,28.5%,70.7%,0.607,0.959,,0.730,0.600,,,+9.3,1.019,,0.882,,,,69.1,59.8,,106.6%,95.0%,,44.1%,39.1%,,34.9%,70.3%,49.8%,10.5%,16.8%,21.5%,,8.7%,25.9%
21,2009,Illinois,51.1%,13.491,27.5%,69.8%,0.694,0.938,,0.706,0.500,,,+7.6,0.998,,0.880,,,,64.8,57.2,,106.8%,93.4%,,46.1%,39.5%,,35.0%,71.1%,50.0%,9.0%,18.4%,20.8%,,6.6%,23.6%
22,2009,Utah State,55.7%,23.114,34.9%,73.0%,0.627,0.973,,0.853,0.750,,,+10.1,1.150,,0.989,,,,72.4,62.3,,118.3%,102.5%,,49.5%,41.9%,,39.5%,74.5%,55.3%,7.7%,17.6%,16.7%,,4.8%,24.7%
23,2009,Tennessee,50.9%,21.028,36.0%,71.1%,0.579,0.992,,0.618,0.500,,,+5.9,1.074,,0.993,,,,78.4,72.5,,107.8%,107.6%,,45.4%,44.3%,,31.5%,67.6%,53.1%,9.1%,17.9%,20.3%,,6.4%,25.9%
24,2009,Butler,51.7%,24.387,30.8%,72.0%,0.585,0.941,,0.806,0.583,,,+8.4,1.046,,0.916,,,,67.1,58.7,,111.6%,97.6%,,43.7%,38.9%,,35.3%,72.2%,52.3%,9.2%,19.6%,19.9%,,6.1%,28.0%
25,2009,Gonzaga,55.2%,20.929,29.5%,70.8%,0.527,0.966,,0.818,0.500,,,+15.5,1.120,,0.900,,,,78.8,63.3,,116.1%,95.2%,,48.8%,37.9%,,39.4%,71.5%,51.9%,10.4%,15.7%,20.4%,,8.5%,23.0%
26,2009,Dayton,47.0%,20.641,36.8%,71.4%,0.584,0.985,,0.771,0.917,,,+5.4,0.991,,0.911,,,,66.8,61.4,,100.4%,99.4%,,42.1%,39.7%,,32.8%,64.8%,53.1%,9.6%,19.8%,21.4%,,6.7%,28.5%
27,2009,Clemson,52.8%,18.513,39.0%,65.8%,0.524,0.984,,0.719,0.500,,,+10.3,1.087,,0.944,,,,78.3,68.0,,110.6%,102.4%,,46.3%,43.1%,,37.4%,68.8%,51.4%,12.9%,19.5%,23.5%,,10.2%,25.0%
28,2009,BYU,54.8%,20.682,26.3%,76.1%,0.593,0.949,,0.750,0.400,,,+11.7,1.091,,0.926,,,,76.8,65.2,,115.9%,100.2%,,48.4%,40.8%,,38.2%,72.8%,52.7%,10.2%,16.2%,19.5%,,6.4%,26.5%
29,2009,Arizona St,56.4%,22.442,28.4%,71.6%,0.659,0.938,,0.714,0.571,,,+8.9,1.112,,0.970,,,,69.4,60.5,,119.4%,101.8%,,48.0%,41.1%,,37.0%,73.7%,51.1%,9.2%,18.2%,19.0%,,4.0%,25.5%
30,2009,Temple,51.1%,16.925,31.9%,72.5%,0.622,0.963,,0.647,0.556,,,+5.1,1.031,,0.954,,,,68.6,63.5,,107.6%,98.8%,,44.3%,40.5%,,36.7%,70.0%,52.1%,8.4%,18.4%,17.6%,,7.4%,25.7%
31,2009,Ohio State,54.8%,20.540,27.1%,67.7%,0.566,0.906,,0.667,0.615,,,+4.8,1.044,,0.968,,,,66.8,62.0,,115.4%,100.7%,,48.1%,40.6%,,37.5%,70.1%,48.9%,9.2%,20.4%,20.0%,,9.6%,23.6%
