,Year,Team,effective-field-goal-pct,ftm-per-100-possessions,offensive-rebounding-pct,defensive-rebounding-pct,assists-per-fgm,effective-possession-ratio,RPI,win-pct-all-games,win-pct-close-games,SOS,Last 10,average-scoring-margin,offensive-efficiency,AdjO,defensive-efficiency,AdjD,EffM,AdjEM,points-per-game,opponent-points-per-game,PFAM,true-shooting-percentage,opponent-true-shooting-percentage,TS%M,shooting-pct,opponent-shooting-pct,FG%M,three-point-pct,free-throw-pct,total-rebounding-percentage,steals-perpossession,turnovers-per-possession,opponent-turnovers-per-possession,TOM,block-pct,personal-fouls-per-possession
52,2019,Auburn,54.4%,18.766,30.2%,69.5%,0.524,0.975,,0.744,0.583,,,+9.9,1.115,,0.976,,,,79.1,69.2,,114.1%,110.3%,,44.9%,44.2%,,38.1%,71.3%,48.6%,12.8%,16.5%,24.0%,,8.7%,25.9%
53,2019,Iowa State,54.8%,18.427,26.5%,72.5%,0.541,0.961,,0.657,0.364,,,+8.8,1.102,,0.977,,,,76.9,68.1,,115.1%,102.3%,,47.6%,41.8%,,36.3%,73.2%,50.3%,10.1%,15.5%,18.0%,,7.6%,21.2%
54,2019,Wofford,57.5%,16.977,31.4%,76.8%,0.499,0.977,,0.844,1.000,,,+13.1,1.160,,0.971,,,,80.5,67.4,,119.0%,106.3%,,48.4%,43.4%,,41.4%,71.0%,53.5%,8.6%,15.9%,18.9%,,5.3%,25.0%
55,2019,Utah State,53.9%,22.095,29.7%,81.4%,0.619,0.948,,0.794,0.571,,,+11.1,1.088,,0.934,,,,78.5,67.4,,115.4%,101.1%,,47.2%,39.5%,,35.7%,75.0%,56.2%,8.3%,17.8%,16.8%,,7.4%,25.8%
56,2019,Washington,52.1%,18.958,26.3%,67.1%,0.475,0.920,,0.750,0.750,,,+5.0,1.009,,0.936,,,,69.8,64.8,,110.2%,102.5%,,45.1%,41.6%,,35.0%,69.5%,47.6%,12.9%,19.2%,23.6%,,10.4%,26.2%
57,2019,Seton Hall,49.9%,19.924,27.8%,73.7%,0.517,0.954,,0.588,0.529,,,+1.9,1.016,,0.989,,,,73.8,71.9,,106.6%,107.1%,,43.9%,42.8%,,32.4%,70.6%,50.1%,9.5%,17.1%,19.3%,,6.7%,25.8%
58,2019,Ohio State,50.3%,19.971,25.7%,75.8%,0.589,0.933,,0.571,0.833,,,+2.9,1.013,,0.970,,,,69.1,66.2,,108.0%,104.4%,,43.4%,42.2%,,34.1%,73.4%,50.9%,8.6%,18.3%,17.8%,,4.4%,26.1%
59,2019,N Mex State,54.1%,20.008,36.9%,79.3%,0.531,0.996,,0.849,0.727,,,+12.4,1.127,,0.946,,,,77.6,65.2,,113.0%,104.7%,,46.2%,42.3%,,33.9%,67.6%,56.9%,8.0%,17.6%,18.8%,,4.6%,26.0%
60,2019,Northeastrn,56.5%,20.470,21.1%,77.0%,0.545,0.926,,0.676,0.375,,,+4.6,1.103,,1.035,,,,75.4,70.8,,119.3%,110.1%,,47.6%,46.0%,,38.2%,75.1%,49.7%,9.1%,16.4%,16.5%,,3.8%,23.2%
61,2019,Georgia St,53.7%,18.515,21.7%,68.5%,0.456,0.936,,0.697,0.818,,,+1.8,1.037,,1.012,,,,75.2,73.4,,112.0%,106.6%,,45.5%,42.8%,,38.1%,65.9%,45.3%,10.7%,16.0%,20.5%,,7.6%,23.8%
62,2019,Abl Christian,51.9%,19.813,26.0%,73.4%,0.574,0.946,,0.767,0.625,,,+5.4,1.039,,0.959,,,,70.8,65.4,,110.5%,107.8%,,45.4%,44.3%,,37.7%,71.9%,48.9%,11.8%,17.0%,22.9%,,5.0%,27.9%
