,Year,Team,points-per-game,offensive-efficiency,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
17,2008,George Mason,,,0.562,0.6970000000000001,0.28600000000000003,171.0,14.6,7.6,1.075,110.7,0.9590000000000001,101.0,0.11599999999999999,9.7,69.9,62.3,7.6,1.125,1.012,0.113,0.469,0.419,0.05,0.35200000000000004,0.7040000000000001,0.532,0.086,0.18,0.177,-0.003,0.059000000000000004,0.23800000000000002
18,2008,Georgetown,69.3,1.039,0.643,0.8440000000000001,1.0,26.0,25.9,11.8,1.077,115.2,0.8959999999999999,89.7,0.18100000000000002,25.5,69.7,58.0,11.7,1.163,0.922,0.24100000000000002,0.486,0.36700000000000005,0.11900000000000001,0.38,0.665,0.519,0.11,0.20199999999999999,0.191,-0.011000000000000001,0.092,0.271
19,2008,Georgia,64.9,0.897,0.5329999999999999,0.484,0.5710000000000001,46.0,10.5,0.6,0.982,104.3,0.972,96.2,0.01,8.1,67.9,67.3,0.6,1.018,1.015,0.003,0.426,0.42700000000000005,-0.001,0.326,0.672,0.527,0.096,0.212,0.184,-0.027999999999999997,0.059000000000000004,0.261
20,2008,Gonzaga,78.8,1.120,0.594,0.7809999999999999,0.7,102.0,24.5,13.2,1.081,114.5,0.894,95.5,0.187,19.0,76.5,63.2,13.3,1.1520000000000001,0.966,0.18600000000000003,0.484,0.39299999999999996,0.091,0.371,0.715,0.537,0.106,0.19899999999999998,0.20600000000000002,0.006999999999999999,0.084,0.249
21,2008,Indiana,59.4,0.894,0.603,0.7809999999999999,0.636,59.0,26.4,10.4,1.0859999999999999,114.6,0.935,96.1,0.151,18.5,75.1,64.7,10.4,1.1420000000000001,0.9890000000000001,0.153,0.46299999999999997,0.409,0.054000000000000006,0.34600000000000003,0.763,0.5479999999999999,0.102,0.196,0.191,-0.005,0.067,0.249
22,2008,Kansas,76.4,1.076,0.6459999999999999,0.9059999999999999,0.6,44.0,31.8,19.8,1.146,120.9,0.866,85.7,0.28,35.2,81.1,61.3,19.8,1.177,0.96,0.217,0.505,0.382,0.12300000000000001,0.389,0.708,0.555,0.13,0.183,0.22399999999999998,0.040999999999999995,0.11,0.247
23,2008,Kansas State,,,0.5770000000000001,0.633,0.5,40.0,15.0,9.8,1.0590000000000002,114.2,0.927,95.3,0.132,18.9,78.8,69.0,9.8,1.064,1.023,0.040999999999999995,0.444,0.42200000000000004,0.022000000000000002,0.324,0.695,0.5529999999999999,0.10300000000000001,0.20199999999999999,0.21899999999999997,0.017,0.063,0.27
24,2008,Kent State,68.2,0.980,0.605,0.8240000000000001,0.727,129.0,17.3,7.6,1.033,107.8,0.919,94.8,0.114,13.0,69.2,61.6,7.6,1.122,0.9990000000000001,0.12300000000000001,0.467,0.409,0.057999999999999996,0.368,0.7140000000000001,0.511,0.127,0.215,0.23800000000000002,0.023,0.075,0.28
25,2008,Kentucky,74.1,1.034,0.5670000000000001,0.6,0.6,51.0,13.4,3.3,1.01,107.8,0.9620000000000001,97.8,0.048,10.0,68.6,65.3,3.3,1.133,0.995,0.138,0.469,0.39399999999999996,0.075,0.368,0.7340000000000001,0.514,0.099,0.22899999999999998,0.191,-0.038,0.08800000000000001,0.276
26,2008,Louisville,74.3,1.062,0.622,0.75,0.444,33.0,18.9,10.6,1.048,113.1,0.894,87.7,0.154,25.4,71.9,61.3,10.6,1.09,0.9520000000000001,0.138,0.45299999999999996,0.38299999999999995,0.07,0.342,0.655,0.52,0.11800000000000001,0.193,0.20600000000000002,0.013000000000000001,0.08800000000000001,0.265
27,2008,Marquette,78.3,1.106,0.606,0.7190000000000001,0.4,42.0,27.7,11.6,1.068,115.3,0.905,93.1,0.163,22.2,75.9,64.3,11.6,1.084,1.0,0.084,0.447,0.413,0.034,0.359,0.701,0.521,0.133,0.182,0.233,0.051,0.071,0.295
28,2008,Memphis,75.1,1.071,0.664,0.971,0.667,93.0,26.7,19.1,1.103,118.0,0.8390000000000001,86.5,0.264,31.5,79.7,60.6,19.1,1.09,0.927,0.163,0.466,0.38299999999999995,0.083,0.35,0.596,0.5429999999999999,0.121,0.16699999999999998,0.221,0.054000000000000006,0.10800000000000001,0.24100000000000002
29,2008,Miami,,,0.5870000000000001,0.677,0.667,74.0,21.3,5.8,1.048,112.5,0.966,97.1,0.08199999999999999,15.4,73.8,68.0,5.8,1.078,1.0070000000000001,0.071,0.434,0.41,0.024,0.37799999999999995,0.748,0.51,0.08199999999999999,0.18600000000000003,0.198,0.012,0.079,0.265
30,2008,Michigan State,,,0.615,0.758,0.7140000000000001,34.0,22.7,9.3,1.08,115.8,0.9390000000000001,94.7,0.141,21.1,71.3,62.0,9.3,1.1179999999999999,0.982,0.136,0.48,0.401,0.079,0.373,0.731,0.5529999999999999,0.092,0.201,0.182,-0.019,0.08,0.275
31,2008,Mississippi State,,,0.581,0.688,0.375,66.0,14.9,8.0,1.0170000000000001,108.2,0.905,91.5,0.11199999999999999,16.7,73.1,65.1,8.0,1.093,0.917,0.17600000000000002,0.461,0.368,0.09300000000000001,0.33399999999999996,0.644,0.529,0.083,0.209,0.174,-0.035,0.126,0.23
32,2008,Mississippi Valley State,,,0.46299999999999997,0.5,0.615,335.0,-7.7,-4.6,0.909,91.9,0.978,107.1,-0.069,-15.2,61.0,65.6,-4.6,0.9740000000000001,1.052,-0.078,0.39899999999999997,0.447,-0.048,0.35200000000000004,0.672,0.483,0.085,0.20600000000000002,0.22,0.013999999999999999,0.05,0.26
33,2008,Mount St. Mary's,,,0.505,0.562,0.375,278.0,3.9,2.6,0.987,99.3,0.951,100.6,0.036000000000000004,-1.3,69.1,66.5,2.6,1.075,1.014,0.061,0.446,0.415,0.031,0.36700000000000005,0.696,0.489,0.10300000000000001,0.203,0.213,0.01,0.067,0.284
34,2008,North Carolina,,,0.672,0.9390000000000001,0.833,24.0,28.7,16.3,1.131,122.1,0.9229999999999999,91.9,0.20800000000000002,30.2,88.8,72.5,16.3,1.135,1.008,0.127,0.48200000000000004,0.42200000000000004,0.06,0.377,0.759,0.573,0.106,0.184,0.204,0.02,0.071,0.214
35,2008,Notre Dame,75.0,1.074,0.599,0.774,0.4,68.0,22.6,10.1,1.1,114.6,0.9620000000000001,95.6,0.138,19.0,80.6,70.5,10.1,1.126,0.9790000000000001,0.147,0.45899999999999996,0.41200000000000003,0.047,0.41,0.735,0.537,0.087,0.17600000000000002,0.16899999999999998,-0.006999999999999999,0.057999999999999996,0.205
36,2008,Oklahoma,78.7,1.113,0.594,0.667,0.75,15.0,21.9,5.0,1.02,109.5,0.945,95.1,0.075,14.4,68.4,63.4,5.0,1.067,1.004,0.063,0.442,0.406,0.036000000000000004,0.348,0.6809999999999999,0.521,0.098,0.191,0.192,0.001,0.071,0.252
37,2008,Oral Roberts,70.4,0.999,0.5720000000000001,0.742,0.5,128.0,15.5,7.4,1.024,104.7,0.914,94.5,0.11,10.2,68.9,61.5,7.4,1.069,0.977,0.092,0.44,0.39899999999999997,0.040999999999999995,0.36700000000000005,0.667,0.517,0.09300000000000001,0.188,0.203,0.015,0.07,0.249
38,2008,Oregon,67.4,0.953,0.57,0.581,0.5,4.0,21.6,4.4,1.107,118.8,1.044,103.1,0.063,15.7,76.8,72.4,4.4,1.175,1.067,0.10800000000000001,0.485,0.44299999999999995,0.042,0.401,0.6890000000000001,0.514,0.066,0.18100000000000002,0.159,-0.022000000000000002,0.043,0.26
39,2008,Pittsburgh,77.2,1.134,0.616,0.735,0.625,36.0,25.9,8.0,1.078,116.5,0.96,96.6,0.11800000000000001,19.9,73.3,65.3,8.0,1.0759999999999998,1.0190000000000001,0.057,0.45899999999999996,0.423,0.036000000000000004,0.34299999999999997,0.6559999999999999,0.526,0.096,0.17800000000000002,0.201,0.023,0.059000000000000004,0.23800000000000002
40,2008,Portland State,,,0.5429999999999999,0.7,0.667,218.0,9.4,5.8,1.067,108.6,0.9840000000000001,103.2,0.083,5.4,74.1,68.3,5.8,1.15,1.083,0.067,0.469,0.447,0.022000000000000002,0.401,0.6709999999999999,0.514,0.098,0.20800000000000002,0.218,0.01,0.062,0.258
41,2008,Purdue,69.1,1.019,0.578,0.75,0.545,70.0,14.9,7.5,1.011,110.5,0.9,92.2,0.111,18.3,68.7,61.2,7.5,1.057,1.047,0.01,0.423,0.434,-0.011000000000000001,0.37,0.706,0.5,0.125,0.18600000000000003,0.256,0.07,0.08800000000000001,0.28800000000000003
42,2008,Saint Joseph's,,,0.578,0.636,0.33299999999999996,75.0,13.5,6.1,1.091,115.1,1.001,100.8,0.09,14.3,73.3,67.3,6.0,1.161,1.064,0.09699999999999999,0.47700000000000004,0.434,0.043,0.385,0.726,0.499,0.107,0.18600000000000003,0.20600000000000002,0.02,0.085,0.259
43,2008,San Diego,60.4,0.940,0.5429999999999999,0.606,0.8,125.0,8.0,2.0,0.965,101.6,0.935,97.0,0.03,4.6,65.0,63.0,2.0,1.046,1.038,0.008,0.446,0.439,0.006999999999999999,0.33899999999999997,0.674,0.512,0.10099999999999999,0.215,0.223,0.008,0.06,0.256
44,2008,Siena,77.4,1.044,0.557,0.688,0.7140000000000001,202.0,10.6,5.8,1.064,108.6,0.9840000000000001,100.7,0.08,7.9,76.8,71.1,5.7,1.078,1.0659999999999998,0.012,0.451,0.451,0.0,0.38299999999999995,0.6829999999999999,0.469,0.131,0.151,0.237,0.086,0.06,0.214
45,2008,South Alabama,,,0.5870000000000001,0.8,0.5,230.0,15.2,10.1,1.103,112.6,0.955,100.8,0.14800000000000002,11.8,75.9,65.8,10.1,1.155,1.014,0.141,0.478,0.418,0.06,0.37,0.711,0.546,0.08900000000000001,0.198,0.19699999999999998,-0.001,0.053,0.251
46,2008,St. Mary's,,,0.5870000000000001,0.8,1.0,158.0,19.7,12.4,1.079,109.2,0.902,94.6,0.177,14.6,75.8,63.4,12.4,1.109,0.9620000000000001,0.147,0.45899999999999996,0.406,0.053,0.36,0.6629999999999999,0.524,0.102,0.18899999999999997,0.205,0.016,0.08800000000000001,0.243
47,2008,Stanford,73.2,1.059,0.62,0.7879999999999999,0.667,19.0,24.5,10.1,1.063,113.6,0.9109999999999999,90.9,0.152,22.7,70.7,60.6,10.1,1.071,0.951,0.12,0.449,0.39399999999999996,0.055,0.36,0.696,0.557,0.066,0.18100000000000002,0.174,-0.006999999999999999,0.094,0.258
48,2008,Temple,68.6,1.031,0.575,0.636,0.5710000000000001,72.0,13.0,4.0,1.069,112.8,1.0090000000000001,100.4,0.06,12.4,72.6,68.6,4.0,1.157,1.051,0.106,0.47200000000000003,0.423,0.049,0.37200000000000005,0.741,0.49200000000000005,0.092,0.183,0.187,0.004,0.078,0.263
49,2008,Tennessee,78.4,1.074,0.6759999999999999,0.875,0.833,30.0,26.6,11.5,1.112,116.2,0.956,94.0,0.156,22.2,82.4,70.9,11.5,1.104,1.053,0.051,0.457,0.43700000000000006,0.02,0.364,0.654,0.508,0.124,0.172,0.24,0.068,0.057999999999999996,0.28
50,2008,Texas,72.3,1.040,0.655,0.8440000000000001,0.778,25.0,26.4,10.6,1.114,120.6,0.9570000000000001,95.5,0.157,25.1,74.9,64.3,10.6,1.085,0.972,0.113,0.45,0.39299999999999996,0.057,0.375,0.6859999999999999,0.52,0.091,0.14,0.18,0.04,0.08800000000000001,0.244
51,2008,Texas A&M,71.6,1.055,0.5820000000000001,0.6970000000000001,0.75,43.0,24.0,9.2,1.048,112.3,0.9129999999999999,92.3,0.135,20.0,71.1,61.9,9.2,1.089,0.9490000000000001,0.14,0.465,0.39399999999999996,0.071,0.35600000000000004,0.638,0.547,0.068,0.184,0.168,-0.016,0.073,0.25
52,2008,UCLA,75.5,1.127,0.652,0.909,0.857,18.0,29.3,14.4,1.1079999999999999,118.0,0.893,88.1,0.215,29.9,74.0,59.6,14.4,1.123,1.012,0.111,0.475,0.433,0.042,0.33799999999999997,0.736,0.565,0.11199999999999999,0.17800000000000002,0.221,0.043,0.069,0.215
53,2008,UMBC,,,0.547,0.742,0.643,269.0,11.1,5.4,1.105,113.2,1.026,109.3,0.079,3.9,74.9,69.5,5.4,1.104,1.064,0.04,0.45399999999999996,0.43700000000000006,0.017,0.386,0.731,0.49200000000000005,0.087,0.141,0.183,0.042,0.06,0.24
54,2008,UNLV,68.8,1.008,0.602,0.7809999999999999,0.6,106.0,16.2,7.3,1.033,110.2,0.924,96.5,0.109,13.7,69.2,61.9,7.3,1.052,0.9890000000000001,0.063,0.42,0.406,0.013999999999999999,0.335,0.745,0.48700000000000004,0.114,0.154,0.21600000000000003,0.062,0.052000000000000005,0.255
55,2008,USC,68.5,1.022,0.591,0.6559999999999999,0.5,3.0,20.8,5.9,1.015,110.5,0.929,91.9,0.086,18.6,69.1,63.2,5.9,1.127,0.9540000000000001,0.17300000000000001,0.48100000000000004,0.391,0.09,0.384,0.685,0.504,0.084,0.214,0.191,-0.023,0.075,0.231
56,2008,UT-Arlington,,,0.51,0.593,0.375,287.0,14.1,2.5,0.9840000000000001,101.3,0.9490000000000001,103.6,0.035,-2.3,72.1,69.6,2.5,1.111,1.011,0.1,0.47100000000000003,0.40399999999999997,0.067,0.349,0.6709999999999999,0.525,0.085,0.239,0.19899999999999998,-0.04,0.042,0.276
57,2008,Vanderbilt,70.5,1.019,0.625,0.7879999999999999,0.75,65.0,19.7,6.2,1.079,112.3,0.996,99.6,0.083,12.7,80.6,74.4,6.2,1.16,1.047,0.113,0.467,0.436,0.031,0.40399999999999997,0.736,0.495,0.08,0.192,0.19699999999999998,0.005,0.057999999999999996,0.244
58,2008,Villanova,76.8,1.071,0.573,0.625,0.5710000000000001,39.0,16.1,3.5,1.0290000000000001,109.2,0.9790000000000001,95.0,0.05,14.2,72.8,69.3,3.5,1.063,1.1,-0.037000000000000005,0.429,0.43799999999999994,-0.009000000000000001,0.342,0.723,0.519,0.114,0.19699999999999998,0.231,0.034,0.055999999999999994,0.294
59,2008,Washington State,,,0.604,0.75,0.75,29.0,23.4,10.0,1.094,115.1,0.9309999999999999,90.8,0.163,24.3,67.1,57.1,10.0,1.159,1.022,0.13699999999999998,0.478,0.42200000000000004,0.055999999999999994,0.385,0.733,0.502,0.105,0.166,0.213,0.047,0.059000000000000004,0.243
60,2008,West Virginia,,,0.593,0.6970000000000001,0.4,56.0,32.6,11.4,1.082,114.6,0.917,93.3,0.165,21.3,74.7,63.3,11.4,1.092,1.0170000000000001,0.075,0.45399999999999996,0.42,0.034,0.358,0.679,0.512,0.10400000000000001,0.157,0.223,0.066,0.098,0.27699999999999997
61,2008,Western Kentucky,,,0.585,0.8059999999999999,0.5,199.0,17.7,11.5,1.091,111.9,0.927,97.3,0.16399999999999998,14.6,76.6,65.1,11.5,1.133,1.036,0.09699999999999999,0.473,0.41700000000000004,0.055999999999999994,0.385,0.706,0.521,0.10800000000000001,0.19699999999999998,0.243,0.046,0.07,0.3
62,2008,Winthrop,60.9,0.908,0.535,0.645,0.14300000000000002,159.0,14.4,6.3,0.993,99.5,0.897,93.1,0.096,6.4,65.1,58.8,6.3,1.038,0.998,0.04,0.44,0.395,0.045,0.374,0.598,0.521,0.126,0.191,0.22399999999999998,0.033,0.067,0.263
63,2008,Wisconsin,63.1,1.041,0.628,0.875,0.625,47.0,27.3,13.6,1.061,113.5,0.847,86.8,0.214,26.7,67.5,53.9,13.6,1.0859999999999999,0.925,0.161,0.45899999999999996,0.379,0.08,0.354,0.708,0.545,0.099,0.18600000000000003,0.21600000000000003,0.03,0.064,0.226
64,2008,Xavier,71.7,1.048,0.634,0.818,0.7140000000000001,78.0,25.7,13.0,1.133,117.3,0.937,95.2,0.196,22.1,75.3,62.3,13.0,1.18,0.998,0.182,0.478,0.40399999999999997,0.07400000000000001,0.391,0.75,0.546,0.084,0.195,0.192,-0.003,0.064,0.261
